Apparent geocentric equatorial FK5 ephemeris of Venus for the month of 
Jan 2001 AD  at 00:00:00 UT on each date.    Delta T = 00:00:00   * = Millions
 
Day|       RA        |       Decl      |     Distance    |  Ang Diam  | VMag
 1 |   21h 58m 51.2s |  -13° 56' 51.5" |    0.8062891 AU |  00' 20.9" | -4.3
 2 |   22h 03m 01.6s |  -13° 30' 32.8" |    0.7989854 AU |  00' 21.1" | -4.3
 3 |   22h 07m 09.9s |  -13° 03' 57.8" |    0.7916700 AU |  00' 21.2" | -4.3
 4 |   22h 11m 16.3s |  -12° 37' 07.5" |    0.7843435 AU |  00' 21.4" | -4.3
 5 |   22h 15m 20.6s |  -12° 10' 02.7" |    0.7770065 AU |  00' 21.6" | -4.3
 6 |   22h 19m 22.9s |  -11° 42' 44.2" |    0.7696596 AU |  00' 21.9" | -4.3
 7 |   22h 23m 23.1s |  -11° 15' 12.9" |    0.7623037 AU |  00' 22.1" | -4.3
 8 |   22h 27m 21.3s |  -10° 47' 29.6" |    0.7549394 AU |  00' 22.3" | -4.4
 9 |   22h 31m 17.5s |  -10° 19' 35.2" |    0.7475677 AU |  00' 22.5" | -4.4
10 |   22h 35m 11.6s |   -9° 51' 30.5" |    0.7401895 AU |  00' 22.7" | -4.4
11 |   22h 39m 03.6s |   -9° 23' 16.4" |    0.7328056 AU |  00' 23.0" | -4.4
12 |   22h 42m 53.5s |   -8° 54' 53.6" |    0.7254168 AU |  00' 23.2" | -4.4
13 |   22h 46m 41.4s |   -8° 26' 23.0" |    0.7180238 AU |  00' 23.4" | -4.4
14 |   22h 50m 27.2s |   -7° 57' 45.3" |    0.7106273 AU |  00' 23.7" | -4.4
15 |   22h 54m 10.9s |   -7° 29' 01.4" |    0.7032278 AU |  00' 23.9" | -4.4
16 |   22h 57m 52.6s |   -7° 00' 11.9" |    0.6958258 AU |  00' 24.2" | -4.4
17 |   23h 01m 32.1s |   -6° 31' 17.8" |    0.6884217 AU |  00' 24.4" | -4.4
18 |   23h 05m 09.5s |   -6° 02' 19.8" |    0.6810162 AU |  00' 24.7" | -4.4
19 |   23h 08m 44.8s |   -5° 33' 18.6" |    0.6736096 AU |  00' 25.0" | -4.4
20 |   23h 12m 17.9s |   -5° 04' 15.2" |    0.6662024 AU |  00' 25.2" | -4.4
21 |   23h 15m 48.8s |   -4° 35' 10.3" |    0.6587952 AU |  00' 25.5" | -4.4
22 |   23h 19m 17.6s |   -4° 06' 04.7" |    0.6513886 AU |  00' 25.8" | -4.5
23 |   23h 22m 44.0s |   -3° 36' 59.4" |    0.6439832 AU |  00' 26.1" | -4.5
24 |   23h 26m 08.2s |   -3° 07' 55.1" |    0.6365798 AU |  00' 26.4" | -4.5
25 |   23h 29m 30.1s |   -2° 38' 52.7" |    0.6291790 AU |  00' 26.7" | -4.5
26 |   23h 32m 49.6s |   -2° 09' 53.0" |    0.6217817 AU |  00' 27.1" | -4.5
27 |   23h 36m 06.7s |   -1° 40' 57.0" |    0.6143888 AU |  00' 27.4" | -4.5
28 |   23h 39m 21.3s |   -1° 12' 05.5" |    0.6070012 AU |  00' 27.7" | -4.5
29 |   23h 42m 33.4s |   -0° 43' 19.3" |    0.5996201 AU |  00' 28.1" | -4.5
30 |   23h 45m 42.9s |   -0° 14' 39.5" |    0.5922466 AU |  00' 28.4" | -4.5
31 |   23h 48m 49.8s |   +0° 13' 53.1" |    0.5848820 AU |  00' 28.8" | -4.5
 
Generated by NeoEphemerix 2001 - v1.0 Beta
